category,correct_response,game,value,clue
COUNTRY & WESTERN MUSIC,Cairo,"Show #958 - Wednesday, November 2, 1988",200,"Except when it's on tour, the most important King Tut collection is housed in this city"
MEDICINE,Hank Williams,"Show #958 - Wednesday, November 2, 1988",200,"Hey, good lookin', this singer recorded some songs under the name Luke the Drifter"
TELEVISION,,"Show #958 - Wednesday, November 2, 1988",200,"The term ""strep"", as in strep throat, is short for this type of bacteria"
SKUNKS,Ed Asner,"Show #958 - Wednesday, November 2, 1988",200,"Before playing the principal at ""The Bronx Zoo"", he played the city editor of the L.A. Tribune"
U.S. STATES,skunk cabbage,"Show #958 - Wednesday, November 2, 1988",200,"The skunk lends its name to this foul-smelling ""vegetable"" found in swamps"
TRAVEL & TOURISM,forceps,"Show #958 - Wednesday, November 2, 1988",300,Jewelers as well as surgeons use this tool for grasping & holding
COUNTRY & WESTERN MUSIC,a national park,"Show #958 - Wednesday, November 2, 1988",300,"Type of place you'd be visiting if you were in Wind Cave, Lassen or Zion"
MEDICINE,sit by my side,"Show #958 - Wednesday, November 2, 1988",300,"In ""Red River Valley"", cowboys sing, ""come and"" do this ""if you love me"""
TELEVISION,Kinsey,"Show #958 - Wednesday, November 2, 1988",300,He was a world authority on the gall wasp in the '20s before turning to sex research
SKUNKS,Betty White,"Show #958 - Wednesday, November 2, 1988",300,"In 1977 her own show aired on CBS just before ""Maude""; now she's a ""Golden Girl"" with Bea Arthur"
U.S. STATES,Pepé Le Pew,"Show #958 - Wednesday, November 2, 1988",300,Name of zee skunk in zee popular Warner Brothers cartoons
TRAVEL & TOURISM,a fortune cookie,"Show #958 - Wednesday, November 2, 1988",400,Usually it's the last thing you're served in a Chinese restaurant
COUNTRY & WESTERN MUSIC,Tuborg (or Carlsberg),"Show #958 - Wednesday, November 2, 1988",400,1 of 2 famous Danish breweries you can tour in Copenhagen
TELEVISION,barium,"Show #958 - Wednesday, November 2, 1988",400,"For an upper GI you drink this; for a lower GI... well, we won't talk about that"
SKUNKS,,"Show #958 - Wednesday, November 2, 1988",400,"The pilot of this show, set in North Carolina, played as part of ""The Danny Thomas Show"" in 1960"
U.S. STATES,dead and in the middle of the road,"Show #958 - Wednesday, November 2, 1988",,Condition of the skunk in the title of the 
TRAVEL & TOURISM,fortified,"Show #958 - Wednesday, November 2, 1988",500,This word on the label signifies that vitamins have been added to milk
COUNTRY & WESTERN MUSIC,Chattanooga,"Show #958 - Wednesday, November 2, 1988",500,You can spend the night in a Victorian style railroad car at the Choo Choo Hilton in this city
TELEVISION,glaucoma,"Show #958 - Wednesday, November 2, 1988",500,"To test for this, the eyeball is anesthetized & a pressure gauge is placed on the front of the eye"
SKUNKS,Harvey Korman,"Show #958 - Wednesday, November 2, 1988",500,"He was a regular on Danny Kaye's, Carol Burnett's & Tim Conway's variety shows"
U.S. STATES,rabies,"Show #958 - Wednesday, November 2, 1988",500,Skunks are the major carriers of this disease in the continental U.S.
TRAVEL & TOURISM,Alaska & Hawaii,"Show #958 - Wednesday, November 2, 1988",200,The 2 states that border no other states
COUNTRY & WESTERN MUSIC,Doctor Samuel Johnson,"Show #958 - Wednesday, November 2, 1988",200,In 1772 James Boswell told this author he intended to write his biography
MEDICINE,the coffee maker (the coffee pot accepted),"Show #958 - Wednesday, November 2, 1988",200,"Count Rumford, who died in 1814, invented the drip version of this"
TELEVISION,Hugh Hefner,"Show #958 - Wednesday, November 2, 1988",200,"Carrie Leigh hopped out of this man's mansion & married an antique dealer, quick as a bunny"
SKUNKS,Grant,"Show #958 - Wednesday, November 2, 1988",200,"Heavy casualties at Shiloh led to calls for his firing, but Lincoln said, ""I can't spare this man; he fights"""
U.S. STATES,(Coco) Chanel,"Show #958 - Wednesday, November 2, 1988",200,Late designer whose perfumes are sold by the numbers: No. 5. No. 19 & No. 22
TRAVEL & TOURISM,Colorado,"Show #958 - Wednesday, November 2, 1988",400,"Of Colorado, New Mexico or Arizona, the state where the Rio Grande begins"
COUNTRY & WESTERN MUSIC,that Francis Bacon wrote Shakespeare\'s plays,"Show #958 - Wednesday, November 2, 1988",,The Baconian theory expounds this
MEDICINE,roads,"Show #958 - Wednesday, November 2, 1988",400,Eli Whitney's nephew invented a crusher used to grind up rock for surfacing these
TELEVISION,Elizabeth Montgomery,"Show #958 - Wednesday, November 2, 1988",400,"This ""Bewitch""ing actress was the 3rd wife of Oscar winner Gig Young"
SKUNKS,Gettysburg,"Show #958 - Wednesday, November 2, 1988",400,This battle was Lee's last major offensive
U.S. STATES,Paris,"Show #958 - Wednesday, November 2, 1988",400,"Mimosa, mayflower & musk mingle in this, Yves St. Laurent's ""capital"" perfume"
TRAVEL & TOURISM,J & Q (& B),"Show #958 - Wednesday, November 2, 1988",600,"Besides X,Y & Z, 2 of the 3 consonants that don't begin a state's name"
COUNTRY & WESTERN MUSIC,Robert Graves,"Show #958 - Wednesday, November 2, 1988",600,"Among his historical novels are ""I, Claudius"" & ""Claudius the God"""
MEDICINE,a turntable,"Show #958 - Wednesday, November 2, 1988",600,"A fault in the rotation speed of this device produces a sound called a ""wow"""
TELEVISION,José Ferrer,"Show #958 - Wednesday, November 2, 1988",600,Drama coach Uta Hagen was his 1st wife & singer Rosemary Clooney his 3rd
SKUNKS,carpetbags,"Show #958 - Wednesday, November 2, 1988",600,Northerners who sought advantage in the post-war South were said to tote their belongings in these
U.S. STATES,,"Show #958 - Wednesday, November 2, 1988",600,"Though it has the same name, Benetton's perfume wasn't named for this controversial Sean Penn film"
TRAVEL & TOURISM,Virginia,"Show #958 - Wednesday, November 2, 1988",800,The last major land battle of the Revolutionary War took place in this state
COUNTRY & WESTERN MUSIC,(Oliver) Twist,"Show #958 - Wednesday, November 2, 1988",800,"Since the beadle named his waifs alphabetically, this character came between Swubble & Unwin"
MEDICINE,detection,"Show #958 - Wednesday, November 2, 1988",800,"The ""D"" in radar stands for this"
TELEVISION,(Barbara) Bain & (Martin) Landau,"Show #958 - Wednesday, November 2, 1988",800,"Of the original stars of ""Mission: Impossible"", the 2 who were married to each other"
SKUNKS,"Savannah, Georgia","Show #958 - Wednesday, November 2, 1988",,"In Sherman's famous ""march to the sea"", this seaport city was his goal"
U.S. STATES,frankincense & myrrh,"Show #958 - Wednesday, November 2, 1988",800,The 2 perfumes mentioned in Matthew 2:11
TRAVEL & TOURISM,Wisconsin,"Show #958 - Wednesday, November 2, 1988",1000,"This state got its nickname, ""Badger State"", from the 1820s miners who dug into its hillsides"
COUNTRY & WESTERN MUSIC,Wakefield,"Show #958 - Wednesday, November 2, 1988",1000,"In an Oliver Goldsmith work, Dr. Primrose is the vicar of this parish"
MEDICINE,a diode,"Show #958 - Wednesday, November 2, 1988",1000,"Name given to the simplest electron tubes, as they have just 2 main parts, a plate & an emitter"
SKUNKS,Breckenridge (or Douglas or Bell),"Show #958 - Wednesday, November 2, 1988",1000,1 of the 3 men whom Lincoln defeated in the 1860 presidential election
U.S. STATES,attar (of roses),"Show #958 - Wednesday, November 2, 1988",1000,Bulgaria is the chief producer of this perfume oil obtained by passing steam thru rose petals
VOCABULARY,Russia (or the Soviet Union),"Show #902 - Tuesday, July 5, 1988",100,"In a 1918 treaty, this country gave up Ukraine but soon recovered it"
TELEVISION ODDITIES,westerly,"Show #902 - Tuesday, July 5, 1988",100,Easterly's antonym
MUSIC ON THE MAP,Dan Rather,"Show #902 - Tuesday, July 5, 1988",100,"Bush asked him, ""How'd you like it if I judged your career by those 7 minutes when you walked off the set?"""
FOOD,West Virginia,"Show #902 - Tuesday, July 5, 1988",100,"John Denver's ""Take Me Home, Country Roads"" sings the praises of this state"
DENTISTRY,stew,"Show #902 - Tuesday, July 5, 1988",100,"Sometimes made with squirrel, the Brunswick type of this more often contains chicken & lima beans"
WORLD LITERATURE,fluoride,"Show #902 - Tuesday, July 5, 1988",100,"A 1935 study found that water in Galesburg, Ill. helped prevent tooth decay because it contained this"
VOCABULARY,Yugoslavia,"Show #902 - Tuesday, July 5, 1988",200,"In 1929, the kingdom of the Serbs, Croats 8: Slovenes became known as this"
TELEVISION ODDITIES,flying,"Show #902 - Tuesday, July 5, 1988",200,"In dictionary entries, this word is followed by fish, saucer & Dutchman"
MUSIC ON THE MAP,Charles Bronson,"Show #902 - Tuesday, July 5, 1988",200,"In L.A. on both Feb. & 5, 1988, the 8:00 movie on 3 TV stations starred this man; talk about a death wish!"
FOOD,Tijuana,"Show #902 - Tuesday, July 5, 1988",200,Herb Alpert spent time in one of its taxis while the Kingston Trio did time in its jail
DENTISTRY,Cap\'n Crunch,"Show #902 - Tuesday, July 5, 1988",200,This man whose eyebrows are on his hat is shown on boxes of Peanut Butter Crunch Cereal
WORLD LITERATURE,impacted,"Show #902 - Tuesday, July 5, 1988",200,"When a wisdom tooth is blocked from coming into the mouth, it's said to be this"
VOCABULARY,Canada,"Show #902 - Tuesday, July 5, 1988",300,The 1867 British North America Act united 3 colonies under this single name
TELEVISION ODDITIES,"the Greek letter ""U""","Show #902 - Tuesday, July 5, 1988",300,"What an ""upsilon"" is"
MUSIC ON THE MAP,Philadelphia brand cream cheese,"Show #902 - Tuesday, July 5, 1988",300,"Kraft is using the song ""New York, New York"" in commercials for this brand of cream cheese"
FOOD,the Suwannee,"Show #902 - Tuesday, July 5, 1988",300,"""Rock-A-Bye Your Baby With A Dixie Melody"" & ""Old Folks At Home"" both misspell the name of this river"
DENTISTRY,bread,"Show #902 - Tuesday, July 5, 1988",300,"Reportedly named for a girl who sold it in the streets, Sally Lunn is a sweet variety of this"
WORLD LITERATURE,George Washington,"Show #902 - Tuesday, July 5, 1988",300,The World Book's article on dentistry features a photo of this man's dentures
VOCABULARY,Huguenots,"Show #902 - Tuesday, July 5, 1988",400,"When Louis XIV revoked the Edict of Nantes, thousands of these French Protestants fled to America"
TELEVISION ODDITIES,the United States,"Show #902 - Tuesday, July 5, 1988",400,"Gullah, which has African roots, is a language spoken by some black inhabitants of this country"
MUSIC ON THE MAP,Tom Hanks,"Show #902 - Tuesday, July 5, 1988",400,"Todd Waring took over this actor's roles in the TV versions of both ""Nothing in Common"" & ""Splash"""
FOOD,St. Louis,"Show #902 - Tuesday, July 5, 1988",400,"Meet me in this city & ""we will dance the hoochee koochee"" & ""I will be your tootsie wootsie"""
DENTISTRY,a luffa,"Show #902 - Tuesday, July 5, 1988",400,"When it's young & tender, this gourd used in the bathtub can be eaten like a squash"
WORLD LITERATURE,smokeless tobacco products (or chewing tobacco),"Show #902 - Tuesday, July 5, 1988",,"In 1986, the ADA successfully campaigned to have cancer warnings put on packages of these products"
VOCABULARY,the Boers,"Show #902 - Tuesday, July 5, 1988",500,"In 1835, many of them left Cape Colony & began their historic ""Great Trek"" to what's now the Transvaal"
TELEVISION ODDITIES,his health,"Show #902 - Tuesday, July 5, 1988",500,"A ""valetudinarian"" is constantly & morbidly concerned with this"
MUSIC ON THE MAP,,"Show #902 - Tuesday, July 5, 1988",500,The title of this show stayed the same in 1982 even though half the title team left the show
FOOD,"""Philadelphia Freedom""","Show #902 - Tuesday, July 5, 1988",500,"Elton John wrote this song for Billie Jean King's tennis team, not our bicentennial"
VOCABULARY,a diary,"Show #902 - Tuesday, July 5, 1988",200,"From Latin for ""day"", famous ones have been written by Boswell & Pepys"
TELEVISION ODDITIES,5,"Show #902 - Tuesday, July 5, 1988",200,Michele L'Esperance made the cover of people after having this many test tube babies all at once
MUSIC ON THE MAP,components,"Show #902 - Tuesday, July 5, 1988",200,"The constituent members of a multistar system, or the constituent members of a stereo system"
FOOD,Mount Everest,"Show #902 - Tuesday, July 5, 1988",200,"Its south summit, some 28,700 feet high, was 1st scaled May 26, 1953"
DENTISTRY,Teddy Roosevelt,"Show #902 - Tuesday, July 5, 1988",200,"As NYC police commissioner, he had a ""bully time"" cracking down on graft in the department"
VOCABULARY,Dante,"Show #902 - Tuesday, July 5, 1988",400,"Late in life, Boccaccio gave public lectures on this other Italian poet's works"
TELEVISION ODDITIES,Amanda Plummer,"Show #902 - Tuesday, July 5, 1988",400,Tony Award-winning daughter of Tony winners Tammy Grimes & Christopher Plummer
MUSIC ON THE MAP,1 inch,"Show #902 - Tuesday, July 5, 1988",400,"A 100-inch telescope collects 10,000 times more light than a telescope with a mirror this size"
FOOD,the Sahara,"Show #902 - Tuesday, July 5, 1988",400,"Snow sometimes covers the peaks in the Ahaggar Mountains, which are in the center of this desert"
DENTISTRY,(Abraham) Lincoln & (John) Kennedy,"Show #902 - Tuesday, July 5, 1988",,The 2 presidents referred to in the following 
VOCABULARY,Romanticism,"Show #902 - Tuesday, July 5, 1988",600,"Balzac & Stendahl were early proponents of realism, which was a reaction against this movement"
TELEVISION ODDITIES,Barbara Tuchman,"Show #902 - Tuesday, July 5, 1988",600,"Historian who wrote about ""The Calamitous 14th Century"" in ""A Distant Mirror"""
MUSIC ON THE MAP,the Mount Wilson Observatory,"Show #902 - Tuesday, July 5, 1988",600,"It was founded in 1904 by George Ellery Hale in the mountains above Pasadena, Calif."
FOOD,Scotland,"Show #902 - Tuesday, July 5, 1988",600,The Grampian Mountains divide this northern country's lowlands & highlands
DENTISTRY,the Navy,"Show #902 - Tuesday, July 5, 1988",600,"As President, FDR liked to wear the cape he got while serving as Assistant Sec'y of this"
VOCABULARY,Ambrose Bierce,"Show #902 - Tuesday, July 5, 1988",800,"Author of ""The Devil's Dictionary"", at 71 he went south of the border & was never seen again"
TELEVISION ODDITIES,Lincoln Center,"Show #902 - Tuesday, July 5, 1988",800,"A hall at this NYC site is named for Alice Tully, who provided most of the funds"
MUSIC ON THE MAP,hydrogen,"Show #902 - Tuesday, July 5, 1988",800,A red giant star has exhausted all of this element used as fuel in its core
FOOD,the Andes,"Show #902 - Tuesday, July 5, 1988",800,The Condor Mountains are an eastern range of this chain
DENTISTRY,Eisenhower,"Show #902 - Tuesday, July 5, 1988",800,Last president born in the 19th century
VOCABULARY,(Leo) Tolstoy,"Show #902 - Tuesday, July 5, 1988",1000,"His 1st published story, ""Childhood"", appeared in 1852 while he was in the Russian army"
TELEVISION ODDITIES,"Jean-Claude (""Baby Doc"") Duvalier","Show #902 - Tuesday, July 5, 1988",1000,"In 1971, at the age of 19, this now-exiled leader became the youngest president in the world"
MUSIC ON THE MAP,Venus & the Earth,"Show #902 - Tuesday, July 5, 1988",,"Among planets in our solar system whose size is known, these 2 are closest in diameter"
FOOD,the Caucas (or Caucasus),"Show #902 - Tuesday, July 5, 1988",1000,"While the major chain in Georgia, USA is the Appalachians, the major chain in Georgia, USSR is this"
